ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b0f7f,HBFWP,2022-09-19T16:45:38Z,2022-09-19,2022-09-19T17:16:14Z,2022-09-19,LSGL,LSZH,4b0f7f_2022-09-19 18:45:38
4b0f56,HBFVA,2022-09-19T17:12:04Z,2022-09-19,2022-09-19T17:32:07Z,2022-09-19,LSGL,LSGG,4b0f56_2022-09-19 19:12:04
4b0f89,HBFWZ,2022-09-20T07:09:49Z,2022-09-20,2022-09-20T09:54:14Z,2022-09-20,LSGL,EGNH,4b0f89_2022-09-20 09:09:49
4b28e3,HBPMP,2022-09-20T07:17:33Z,2022-09-20,2022-09-20T07:35:56Z,2022-09-20,LSGL,LSGL,4b28e3_2022-09-20 09:17:33
4b1bdd,HBKOJ,2022-09-20T07:32:36Z,2022-09-20,2022-09-20T09:16:29Z,2022-09-20,LSGL,LSGL,4b1bdd_2022-09-20 09:32:36
400c04,GKENZ,2022-09-20T08:01:57Z,2022-09-20,2022-09-20T09:25:04Z,2022-09-20,LSGL,LFNL,400c04_2022-09-20 10:01:57
4b28e3,HBPMP,2022-09-20T08:19:44Z,2022-09-20,2022-09-20T09:48:27Z,2022-09-20,LSGL,LSGL,4b28e3_2022-09-20 10:19:44
4b26f7,HBOTR,2022-09-20T10:16:44Z,2022-09-20,2022-09-20T11:00:42Z,2022-09-20,LSGL,LSPL,4b26f7_2022-09-20 12:16:44
4b1b8a,HBKLE,2022-09-20T11:14:02Z,2022-09-20,2022-09-20T11:30:29Z,2022-09-20,LSGL,LSGY,4b1b8a_2022-09-20 13:14:02
4b28e3,HBPMP,2022-09-20T11:54:22Z,2022-09-20,2022-09-20T12:25:16Z,2022-09-20,LSGL,LSGE,4b28e3_2022-09-20 13:54:22
460861,FSF246X,2022-09-20T12:21:25Z,2022-09-20,2022-09-20T14:16:29Z,2022-09-20,LSGL,EGLF,460861_2022-09-20 14:21:25
4b1af2,HBKFI,2022-09-20T13:03:38Z,2022-09-20,2022-09-20T13:46:56Z,2022-09-20,LSGL,LSGL,4b1af2_2022-09-20 15:03:38
461981,FSF206V,2022-09-20T13:56:03Z,2022-09-20,2022-09-20T14:48:48Z,2022-09-20,LSGL,LFTF,461981_2022-09-20 15:56:03
460cb6,FSF182Y,2022-09-20T14:09:17Z,2022-09-20,2022-09-20T15:12:41Z,2022-09-20,LSGL,LFPB,460cb6_2022-09-20 16:09:17
4b1bdd,HBKOJ,2022-09-20T14:27:42Z,2022-09-20,2022-09-20T14:50:28Z,2022-09-20,LSGL,LSGN,4b1bdd_2022-09-20 16:27:42
4b1af2,HBKFI,2022-09-20T14:44:06Z,2022-09-20,2022-09-20T15:09:09Z,2022-09-20,LSGL,LSGL,4b1af2_2022-09-20 16:44:06
461fbd,FSF442Y,2022-09-20T15:28:22Z,2022-09-20,2022-09-20T17:02:29Z,2022-09-20,LSGL,EDLP,461fbd_2022-09-20 17:28:22
46316e,FSF996C,2022-09-20T15:31:49Z,2022-09-20,2022-09-20T17:07:42Z,2022-09-20,LSGL,EDLP,46316e_2022-09-20 17:31:49
4b2ef8,HBSDS,2022-09-20T16:52:44Z,2022-09-20,2022-09-20T17:10:17Z,2022-09-20,LSGL,LSGE,4b2ef8_2022-09-20 18:52:44
